Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Size,Color,Season,Review Rating,Previous Purchases
1,55,Male,Blouse,Clothing,53,L,Gray,Winter,3.1,14
2,19,Male,Sweater,Clothing,64,L,Maroon,Winter,3.1,2
3,50,Male,Jeans,Clothing,73,S,Maroon,Spring,3.1,23
4,21,Male,Sandals,Footwear,90,M,Maroon,Spring,3.5,49
5,45,Male,Blouse,Clothing,49,M,Turquoise,Spring,2.7,31
6,46,Male,Sneakers,Footwear,20,M,White,Summer,2.9,14
7,63,Male,Shirt,Clothing,85,M,Gray,Fall,3.2,49
8,27,Male,Shorts,Clothing,34,L,Charcoal,Winter,3.2,19
9,26,Male,Coat,Outerwear,97,L,Silver,Summer,2.6,8
10,57,Male,Handbag,Accessories,31,M,Pink,Spring,4.8,4
11,53,Male,Shoes,Footwear,34,L,Purple,Fall,4.1,26
12,30,Male,Shorts,Clothing,68,S,Olive,Winter,4.9,10
13,61,Male,Coat,Outerwear,72,M,Gold,Winter,4.5,37
14,65,Male,Dress,Clothing,51,M,Violet,Spring,4.7,31
15,64,Male,Coat,Outerwear,53,L,Teal,Winter,4.7,34
16,64,Male,Skirt,Clothing,81,M,Teal,Winter,2.8,8
17,25,Male,Sunglasses,Accessories,36,S,Gray,Spring,4.1,44
18,53,Male,Dress,Clothing,38,XL,Lavender,Winter,4.7,36
19,52,Male,Sweater,Clothing,48,S,Black,Summer,4.6,17
20,66,Male,Pants,Clothing,90,M,Green,Summer,3.3,46
21,21,Male,Pants,Clothing,51,M,Black,Winter,2.8,50
22,31,Male,Pants,Clothing,62,M,Charcoal,Winter,4.1,22
23,56,Male,Pants,Clothing,37,M,Peach,Summer,3.2,32
24,31,Male,Pants,Clothing,88,XL,White,Winter,4.4,40
25,18,Male,Jacket,Outerwear,22,M,Green,Fall,2.9,16
26,18,Male,Hoodie,Clothing,25,M,Silver,Summer,3.6,14
27,38,Male,Jewelry,Accessories,20,M,Red,Spring,3.6,13
28,56,Male,Shorts,Clothing,56,L,Cyan,Summer,5.0,7
29,54,Male,Handbag,Accessories,94,M,Gray,Fall,4.4,41
30,31,Male,Dress,Clothing,48,S,Black,Fall,4.1,14
31,57,Male,Jewelry,Accessories,31,L,Black,Winter,4.7,16
32,33,Male,Dress,Clothing,79,L,Brown,Winter,4.7,45
33,36,Male,Jacket,Outerwear,67,M,Silver,Summer,4.9,37
